cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
94201;Atividades de organizações sindicais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94308;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94910;Atividades de organizações religiosas;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94928;Atividades de organizações políticas;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94936;"Atividades de organizações associativas ligadas à cultura
e à arte";94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94995;Atividades associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
95118;Reparação e manutenção de computadores e de equipamentos periféricos;95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
95126;Reparação e manutenção de equipamentos de comunicação;95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
95215;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
95291;Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente;95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
96017;Lavanderias, tinturarias e toalheiros;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
96025;Cabeleireiros e outras atividades de tratamento de beleza;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
96033;Atividades funerárias e serviços relacionados;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
96092;Atividades de serviços pessoais não especificadas anteriormente;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
97005;Serviços domésticos;97;SERVIÇOS DOMÉSTICOS
